Section,ID,Description,View,Pose/Action,Clothing,Required,Done,Notes
A,A01,Front full body neutral,wings folded,standing,none,YES,,
A,A02,Front full body neutral,wings slightly open,standing,none,YES,,
A,A03,Three-quarter left full body,neutral pose,standing,none,YES,,
A,A04,Three-quarter right full body,neutral pose,standing,none,YES,,
A,A05,Side profile left full body,neutral pose,standing,none,YES,,
A,A06,Side profile right full body,neutral pose,standing,none,YES,,
A,A07,Back view full body,wings folded,standing,none,YES,,
A,A08,Back view full body,wings open,standing,none,YES,,
A,A09,Head and upper torso close-up,front view,neutral,none,YES,,
A,A10,Head close-up,three-quarter left,neutral,none,YES,,
A,A11,Head close-up,three-quarter right,neutral,none,YES,,
A,A12,Torso crop shoulders to hips,front view,neutral,none,YES,,

B,B13,Full body,arms relaxed,standing,none,YES,,
B,B14,Full body,arms crossed,standing,none,YES,,
B,B15,Full body,walking stance,walking,none,YES,,
B,B16,Full body,weight on one leg,standing,none,YES,,
B,B17,Full body,slight forward lean,standing,none,YES,,
B,B18,Full body,slight backward lean,standing,none,YES,,
B,B19,Full body,sitting upright,sitting,none,YES,,
B,B20,Full body,kneeling upright,kneeling,none,YES,,
B,B21,Full body,arms raised slightly,standing,none,YES,,
B,B22,Full body,wings partially spread,standing,none,YES,,
B,B23,Full body,wings fully spread,standing,none,YES,,
B,B24,Side view,tail and hips emphasized,standing,none,YES,,

C,C25,Front full body,neutral pose,standing,athletic top,YES,,
C,C26,Three-quarter view,neutral pose,standing,athletic top,YES,,
C,C27,Side view,neutral pose,standing,athletic top,YES,,
C,C28,Front full body,neutral pose,standing,jacket,YES,,
C,C29,Three-quarter view,neutral pose,standing,jacket,YES,,
C,C30,Side view,neutral pose,standing,jacket,YES,,
C,C31,Front full body,neutral pose,standing,shirt or hoodie,YES,,
C,C32,Three-quarter view,neutral pose,standing,shirt or hoodie,YES,,
C,C33,Side view,neutral pose,standing,shirt or hoodie,YES,,
C,C34,Front full body,neutral pose,standing,light gear or harness,YES,,
C,C35,Three-quarter view,neutral pose,standing,light gear or harness,YES,,
C,C36,Side view,neutral pose,standing,light gear or harness,YES,,

D,D37,Head close-up,front view,neutral expression,none,YES,,
D,D38,Head close-up,front view,slight smile,none,YES,,
D,D39,Head close-up,front view,serious expression,none,YES,,
D,D40,Head close-up,front view,relaxed eyes,none,YES,,
D,D41,Head close-up,looking upward,neutral,none,YES,,
D,D42,Head close-up,looking downward,neutral,none,YES,,
D,D43,Head close-up,profile view,neutral,none,YES,,
D,D44,Head close-up,head tilt,neutral,none,YES,,

E,E45,Full body,wings folded tight,standing,none,YES,,
E,E46,Full body,wings mid-spread,standing,none,YES,,
E,E47,Full body,wings fully spread symmetrical,standing,none,YES,,
E,E48,Wing detail,feather close-up,static,none,YES,,
E,E49,Tail full length,side view,standing,none,YES,,
E,E50,Tail full length,back view,standing,none,YES,,
E,E51,Tail flame detail,close-up,static,none,YES,,
E,E52,Tail base and flame,detail view,static,none,YES,,

F,F53,Full body,alternate lighting,standing,any,OPTIONAL,,
F,F54,Full body,studio lighting,standing,any,OPTIONAL,,
F,F55,Full body,outdoor background,standing,any,OPTIONAL,,
F,F56,Full body,alternate neutral pose,standing,any,OPTIONAL,,
F,F57,Full body,slight style variance,standing,any,OPTIONAL,,
F,F58,Full body,alternate outfit material,standing,any,OPTIONAL,,
F,F59,Full body,alternate wing angle,standing,any,OPTIONAL,,
F,F60,Full body,alternate tail curve,standing,any,OPTIONAL,,
